,PKey,avg_rad,cf_cvg,centroid
367,303,0.9906222578936585,8.350236438661483,[77.48867645 30.25076744]
368,303,3.544879274836857,9.923602382835796,[77.2057071  30.08907053]
369,303,9.336594993710229,8.708761874785068,[77.14282505 30.03517212]
370,303,3.3989933757581685,8.709843435990107,[77.2775723  30.14296694]
371,303,3.9174346690486637,8.016311214110278,[77.3000302  30.30017458]
372,303,3.4105437077379794,9.144875537583612,[77.35392915 30.24627568]
373,303,5.175276317290575,7.1677995452424765,[77.2820639  28.72363101]
374,306,4.682369895491479,6.771950078504228,[73.46422395 27.56929644]
375,306,3.5867639835243734,6.637878967373521,[73.7382101  28.49456126]
376,306,2.456437906503056,6.928595140739366,[73.55405545 27.97353799]
377,306,3.736316068473018,5.334241697636204,[73.40134185 28.02294503]
378,306,6.269792386613233,5.705923316562091,[73.19472935 28.05887851]
379,306,6.997180672516189,7.151596210596756,[73.2037125  27.83430111]
380,306,4.1573746715895945,6.06702909917599,[73.76965115 27.93311398]
381,307,28.580909357861977,9.801661861024161,[72.9926084  27.77141701]
382,308,3.738950392104592,12.846414596056688,[72.9566758  27.84777367]
383,308,3.4886494973841056,10.72542725675563,[73.38786715 28.18913406]
384,308,3.7857870416850843,13.0,[73.42829135 28.04989498]
385,308,3.581168983528822,13.0,[72.58836655 28.70566491]
386,308,3.12553605164385,12.93140734543619,[73.3339682  27.80285846]
387,308,4.223023829666122,12.040223319110803,[73.3204935  28.03642645]
388,308,1.5643499406393937,11.590729291951654,[74.0032131  28.09481111]
389,308,5.344893991646847,12.844010879179526,[73.78312585 28.02294589]
390,308,2.9488519345555693,11.428742172303474,[78.13097185 29.37940158]
391,308,2.849043941422979,11.101869990797395,[78.5037727  29.30304475]
392,308,1.4892967612900567,13.0,[78.17139605 29.60398044]
393,308,6.583210735323191,7.352532554240328,[78.28817705 29.33448583]
394,308,3.5868894293306295,12.948652705982775,[78.4229243  29.45126721]
395,308,8.62239228322054,12.893294043974223,[78.26571915 29.14134743]
396,308,9.03326310910435,11.972056637316117,[78.19834545 29.50965709]
397,308,6.366325088525737,12.0,[78.48580635 29.74321909]
398,309,10.673919836447,7.71531856176704,[78.37800855 29.53211519]
399,309,5.119185557996212,7.440808274924951,[78.12648025 29.49169079]
400,309,5.249198591324949,6.515630796260274,[78.5756379  29.32999409]
401,309,1.9253786994287443,7.660571831873954,[78.5801295  29.20872093]
402,309,2.3026274154400745,5.839206629231651,[78.404958   29.15033099]
403,309,5.003202693344324,5.980510276577596,[78.22080335 29.34346876]
404,309,4.7085025311068245,6.103575116191442,[78.37800855 29.32999409]
405,309,6.251765701941167,7.363854397202732,[78.3286012  29.61745625]
406,309,2.173914622230971,7.427139575648937,[85.28605305 26.51377582]
407,309,4.339974541973182,7.327300097832236,[94.52073415 26.01970242]
408,309,3.6976895513184433,7.065998322446694,[92.7285952  23.73798329]
409,309,6.961781743102825,6.797689946575761,[88.9197384  26.42394421]
410,309,7.328834943606337,5.717925254488032,[89.4497444 26.3251297]
411,309,4.738900459030322,7.9459541938754565,[89.52610125 26.47784322]
412,309,2.2424944928318853,6.617319558856764,[85.5510561  24.39375273]
413,309,4.714193994228241,6.9874732787948535,[85.25910365 24.38476861]
414,310,2.458066015337803,5.875768839806738,[85.51512345 24.3353609 ]
415,313,1.8265444359287057,10.48597815131451,[85.63639605 24.37578546]
416,315,4.860752505508649,11.548047629764222,[85.53308975 24.4431613 ]
418,319,3.9681387281733143,10.971683464485269,[85.68580335 24.47909183]
419,319,5.003891907336404,11.006525451678938,[84.046378   21.64041593]
